No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
167,2/16/21,15:49:09,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,,,,,,,,,,33.293,0.646,-2.817,2463,52.779,7:45,1.658,0.587,1.304,-1.56,-0.223,-0.239,0.287,-0.474,30.494,-10.48,-4.536,0.53,,,,,,,,,,,,0.101,-0.097,-0.491,15.24,1.661,1.709,-32.755,-0.269,1.4,6.057,-11.163,Coe College,Coe College,,,,,{ED5D0BEE-8B79-41E0-B3E5-1D749B674449},0.474,0.287,
168,2/16/21,15:49:22,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Tyler Elliott,{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,38.693,-3.36,-2.597,1167,197.945,12:30,1.702,0.615,1.468,-0.537,0.434,0.149,0.193,0.014,35.305,-7.224,-1.519,0.451,,,,,,,,,,,,-0.095,0.261,-0.538,15.24,1.595,1.658,-38.022,-2.474,-1.799,7.423,-4.847,Coe College,Coe College,,,,,{A3A21CA3-0CD3-4C91-9772-92DF4FC14E02},-0.014,0.193,
169,2/16/21,15:49:37,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Tyler Elliott,{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,38.578,-0.728,-2.034,1181,213.588,1:00,1.774,0.747,1.491,-0.559,0.41,0.289,1.005,0.449,35.146,-4.777,0.066,0.45,,,,,,,,,,,,-0.164,0.231,-0.689,15.24,1.747,1.223,-38.024,-0.73,-3.116,7.399,-5.418,Coe College,Coe College,,,,,{85AB1DFD-E2FA-433A-950E-93753493DBDE},-0.449,1.005,
170,2/16/21,15:49:52,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Tyler Elliott,{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,38.236,-2.346,-0.854,1176,182.72,12:00,1.781,0.595,1.517,-0.5,0.478,0.024,0.605,0.373,34.882,-5.968,-0.679,0.453,,,,,,,,,,,,-0.019,0.281,-0.57,15.24,1.707,0.553,-37.781,-1.764,-0.347,7.56,-4.558,Coe College,Coe College,,,,,{75159070-BD2F-4170-9455-D935F8F1D737},-0.373,0.605,
171,2/16/21,15:50:05,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Tyler Elliott,{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,Coe College,Wind Up,,Top,,,,Cutter,,Swinging Strike,,,,,,,33.412,2.391,0.219,1967,47.261,7:30,1.648,0.587,1.249,-1.722,-0.406,-0.388,0.625,0.262,30.601,-9.928,-2.582,0.527,,,,,,,,,,,,0.199,-0.201,-0.589,15.24,1.708,0.037,-33.092,0.655,2.818,6.359,-12.656,Coe College,Coe College,,,,,{B96F3098-AEA7-45C6-BD35-1652E44EAF90},-0.262,0.625,
172,2/16/21,15:50:20,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Tyler Elliott,{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,38.93,-0.426,-0.955,2315,68.76,8:15,1.54,0.419,1.458,-1.13,-0.18,-0.383,0.287,-0.24,35.644,-8.576,-3.741,0.447,,,,,,,,,,,,0.192,-0.074,-0.386,15.24,1.516,0.813,-38.452,-0.795,3.694,8.156,-11.235,Coe College,Coe College,,,,,{F1433085-7CA8-4A66-9C34-A06ACF0600B6},0.24,0.287,
173,2/16/21,15:50:35,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Tyler Elliott,{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,Coe College,Wind Up,,Top,,,,Cutter,,Swinging Strike,,,,,,,34.13,0.354,-1.158,1241,32.07,7:00,1.53,0.609,1.323,-1.661,-0.407,-0.232,,,31.586,-11.472,-2.829,,,,,,,,,,,,,0.11,-0.191,-0.568,15.24,1.522,0.78,-33.759,-0.489,1.633,6.205,-12.651,Coe College,Coe College,,,,,{621AD95B-EF81-44C7-B9C3-5AD791DA6F6E},-0.04,-0.028,
174,2/16/21,15:50:50,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Tyler Elliott,{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,Coe College,Wind Up,,Top,,,,Curveball,,Swinging Strikeout,,,,,,,33.272,1.082,0.002,1216,51.733,7:45,1.702,0.561,1.276,-1.662,-0.335,-0.365,0.356,0.197,30.53,-10.786,-2.632,0.529,,,,,,,,,,,,0.186,-0.155,-0.557,15.24,1.719,0.15,-32.892,-0.069,2.604,6.223,-11.978,Coe College,Coe College,,,,,{937424BB-FDE9-456E-838A-EDBE010EC3F0},-0.197,0.356,
175,2/16/21,15:51:14,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Daniel Hawes,{FA841584-9742-4351-A30A-4D84AAB259FD},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,38.814,-2.628,-1.586,2167,178.827,12:00,1.854,0.526,1.449,-0.331,0.631,-0.013,0.762,0.054,35.521,-5.013,-1.682,0.448,,,,,,,,,,,,-0.004,0.354,-0.478,15.24,1.77,1.066,-38.285,-1.909,-0.068,7.248,-2.972,Coe College,Coe College,,,,,{351DD9D4-9FED-4EEE-B324-92834B6F9760},-0.054,0.762,
176,2/16/21,15:51:28,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Daniel Hawes,{FA841584-9742-4351-A30A-4D84AAB259FD},R,Coe College,Wind Up,,Top,,,,Cutter,,Ball,,,,,,,33.289,-1.268,-1.275,1201,190.518,12:15,1.998,0.753,1.293,-0.877,0.449,0.09,0.751,0.471,30.498,-7.533,-0.629,0.527,,,,,,,,,,,,-0.055,0.255,-0.712,15.24,1.945,0.695,-32.904,-1.093,-0.774,5.693,-6.194,Coe College,Coe College,,,,,{BD39B5C4-5431-4FE4-B0DF-43D3082FE4BB},-0.471,0.751,
